email,label
claimprize187@deals.biz,1
admin.team@outlook.com,0
offeralert359@lottery.com,1
invoice.desk@promo.net,0
service.service@lottery.com,0
offeralert612@deals.biz,1
sales.team@secure.com,0
bestdeal289@outlook.com,1
cashwinner442@gmail.com,0
bestdeal457@secure.com,1
support.help@deals.biz,0
sales.service@promo.net,0
winbig238@company.com,1
sales.desk@promo.net,0
claimprize535@lottery.com,1
winbig393@promo.net,1
cashwinner503@gmail.com,0
admin.team@yahoo.com,0
freegift467@deals.biz,1
team.desk@deals.biz,0
team.service@gmail.com,0
contact.help@promo.net,0
bestdeal573@gmail.com,0
contact.team@hotmail.com,0
offeralert793@outlook.com,1
team.team@secure.com,0
contact.help@company.com,0
support.help@gmail.com,0
bestdeal742@hotmail.com,1
winbig827@promo.net,1
admin.desk@lottery.com,0
team.help@secure.com,0
freegift79@company.com,1
spamdeal711@company.com,1
hello.help@deals.biz,0
sales.service@lottery.com,0
bestdeal629@company.com,1
cheapoffer549@yahoo.com,1
cheapoffer447@promo.net,1
info.team@hotmail.com,0
support.team@promo.net,0
spamdeal309@secure.com,1
offeralert878@outlook.com,1
cheapoffer696@promo.net,1
hello.help@hotmail.com,0
sales.service@lottery.com,0
claimprize53@promo.net,1
cheapoffer864@outlook.com,1
team.help@yahoo.com,0
offeralert19@company.com,1
hello.desk@promo.net,0
sales.service@secure.com,0
claimprize375@lottery.com,1
cashwinner28@secure.com,1
cheapoffer618@yahoo.com,1
cheapoffer774@lottery.com,1
contact.help@lottery.com,0
admin.service@deals.biz,0
support.help@secure.com,0
invoice.team@promo.net,0
cheapoffer373@hotmail.com,1
cheapoffer788@company.com,1
bestdeal976@hotmail.com,1
spamdeal657@hotmail.com,1
support.desk@hotmail.com,0
info.help@hotmail.com,0
sales.desk@promo.net,0
cheapoffer208@yahoo.com,1
sales.team@hotmail.com,0
cheapoffer288@outlook.com,1
cashwinner476@gmail.com,1
invoice.desk@deals.biz,0
sales.help@promo.net,0
cashwinner319@lottery.com,1
info.desk@hotmail.com,0
spamdeal611@company.com,1
offeralert757@lottery.com,1
info.help@yahoo.com,0
freegift776@hotmail.com,1
cashwinner877@outlook.com,1
bestdeal793@gmail.com,0
cheapoffer9@hotmail.com,1
admin.help@deals.biz,0
claimprize58@outlook.com,1
claimprize787@secure.com,1
spamdeal584@secure.com,1
team.team@yahoo.com,0
cashwinner423@deals.biz,1
sales.team@company.com,0
spamdeal316@hotmail.com,1
invoice.team@promo.net,0
invoice.desk@lottery.com,0
team.help@company.com,0
cheapoffer976@secure.com,1
team.desk@lottery.com,0
freegift878@yahoo.com,1
cheapoffer523@secure.com,1
invoice.desk@lottery.com,0
contact.desk@promo.net,0
sales.help@gmail.com,0
claimprize373@deals.biz,1
offeralert537@outlook.com,1
service.desk@deals.biz,0
admin.team@deals.biz,0
bestdeal672@yahoo.com,1
sales.service@secure.com,0
winbig30@hotmail.com,1
cheapoffer941@company.com,1
spamdeal741@company.com,1
support.service@lottery.com,0
cheapoffer721@outlook.com,1
offeralert519@company.com,1
offeralert788@gmail.com,0
winbig262@company.com,1
sales.help@promo.net,0
team.help@company.com,0
offeralert44@gmail.com,0
invoice.help@outlook.com,0
winbig695@hotmail.com,1
winbig262@company.com,1
support.team@hotmail.com,0
hello.team@gmail.com,0
admin.desk@secure.com,0
hello.desk@company.com,0
freegift46@hotmail.com,1
spamdeal185@hotmail.com,1
sales.help@deals.biz,0
bestdeal378@yahoo.com,1
cashwinner613@secure.com,1
freegift219@yahoo.com,1
cashwinner879@gmail.com,0
offeralert661@outlook.com,1
winbig949@gmail.com,0
cashwinner230@secure.com,1
sales.desk@promo.net,0
service.desk@lottery.com,0
info.help@hotmail.com,0
service.desk@deals.biz,0
freegift487@lottery.com,1
admin.desk@secure.com,0
claimprize780@company.com,1
info.desk@hotmail.com,0
sales.team@company.com,0
info.service@deals.biz,0
support.service@promo.net,0
winbig391@gmail.com,0
cheapoffer892@secure.com,1
admin.service@hotmail.com,0
winbig466@hotmail.com,1
info.help@promo.net,0
winbig282@company.com,1
cheapoffer903@outlook.com,1
winbig654@lottery.com,1
admin.service@deals.biz,0
cheapoffer429@hotmail.com,1
info.team@company.com,0
cheapoffer987@yahoo.com,1
admin.help@company.com,0
sales.service@deals.biz,0
invoice.service@outlook.com,0
hello.desk@hotmail.com,0
offeralert689@gmail.com,0
cheapoffer376@hotmail.com,1
freegift971@hotmail.com,1
freegift362@lottery.com,1
info.help@hotmail.com,0
winbig216@hotmail.com,1
cashwinner636@hotmail.com,1
hello.team@company.com,0
service.help@outlook.com,0
claimprize481@hotmail.com,1
cashwinner122@outlook.com,1
bestdeal507@secure.com,1
winbig158@deals.biz,1
contact.help@gmail.com,0
admin.desk@lottery.com,0
bestdeal290@secure.com,1
winbig750@promo.net,1
hello.service@lottery.com,0
info.help@gmail.com,0
hello.service@hotmail.com,0
claimprize617@promo.net,1
cheapoffer532@hotmail.com,1
invoice.team@promo.net,0
info.help@secure.com,0
hello.service@yahoo.com,0
support.service@promo.net,0
info.help@outlook.com,0
cheapoffer503@promo.net,1
cashwinner260@lottery.com,1
claimprize183@outlook.com,1
admin.team@hotmail.com,0
spamdeal145@company.com,1
bestdeal270@outlook.com,1
cashwinner371@secure.com,1
cashwinner664@secure.com,1
team.help@lottery.com,0
support.service@lottery.com,0
sales.service@outlook.com,0
sales.team@yahoo.com,0
freegift9@company.com,1
cheapoffer847@company.com,1
offeralert717@company.com,1
freegift57@yahoo.com,1
team.help@yahoo.com,0
cashwinner55@promo.net,1
bestdeal212@yahoo.com,1
winbig183@promo.net,1
offeralert877@yahoo.com,1
spamdeal201@yahoo.com,1
team.help@deals.biz,0
contact.desk@deals.biz,0
winbig706@promo.net,1
info.help@deals.biz,0
offeralert734@secure.com,1
bestdeal736@secure.com,1
winbig178@deals.biz,1
bestdeal755@company.com,1
offeralert452@secure.com,1
invoice.desk@company.com,0
winbig75@company.com,1
admin.team@deals.biz,0
cheapoffer677@company.com,1
cheapoffer597@deals.biz,1
team.team@secure.com,0
contact.help@company.com,0
spamdeal668@promo.net,1
offeralert864@yahoo.com,1
sales.desk@deals.biz,0
cheapoffer241@deals.biz,1
spamdeal114@promo.net,1
support.desk@deals.biz,0
bestdeal816@deals.biz,1
invoice.desk@company.com,0
cashwinner958@deals.biz,1
invoice.team@hotmail.com,0
sales.help@lottery.com,0
freegift198@company.com,1
spamdeal900@yahoo.com,1
freegift911@hotmail.com,1
claimprize640@deals.biz,1
freegift424@secure.com,1
freegift212@promo.net,1
spamdeal887@deals.biz,1
bestdeal790@yahoo.com,1
cheapoffer545@yahoo.com,1
winbig729@gmail.com,0
sales.service@secure.com,0
winbig624@deals.biz,1
support.desk@gmail.com,0
cashwinner890@gmail.com,0
team.desk@yahoo.com,0
team.desk@hotmail.com,0
winbig998@company.com,1
freegift29@promo.net,1
claimprize434@lottery.com,1
cashwinner679@outlook.com,1
team.desk@hotmail.com,0
support.desk@secure.com,0
winbig341@outlook.com,1
cheapoffer247@promo.net,1
offeralert424@secure.com,1
claimprize310@outlook.com,1
admin.desk@gmail.com,0
claimprize773@promo.net,1
winbig295@gmail.com,0
cashwinner48@lottery.com,1
team.team@lottery.com,0
admin.help@yahoo.com,0
spamdeal80@deals.biz,1
team.desk@secure.com,0
cashwinner35@outlook.com,1
winbig359@outlook.com,1
cheapoffer583@promo.net,1
admin.team@outlook.com,0
invoice.desk@secure.com,0
admin.help@deals.biz,0
service.service@hotmail.com,0
support.help@promo.net,0
team.service@hotmail.com,0
team.service@gmail.com,0
bestdeal208@secure.com,1
team.service@secure.com,0
cheapoffer317@yahoo.com,1
hello.team@secure.com,0
contact.desk@secure.com,0
support.service@secure.com,0
freegift598@yahoo.com,1
cheapoffer788@hotmail.com,1
winbig75@hotmail.com,1
sales.desk@hotmail.com,0
claimprize15@yahoo.com,1
info.service@hotmail.com,0
freegift977@deals.biz,1
admin.help@yahoo.com,0
cheapoffer989@yahoo.com,1
contact.desk@lottery.com,0
info.service@promo.net,0
info.help@company.com,0
spamdeal215@gmail.com,0
winbig226@secure.com,1
claimprize669@yahoo.com,1
hello.help@yahoo.com,0
bestdeal551@outlook.com,1
claimprize225@company.com,1
bestdeal211@deals.biz,1
offeralert631@lottery.com,1
support.team@outlook.com,0
service.team@outlook.com,0
freegift787@hotmail.com,1
cashwinner388@deals.biz,1
service.team@secure.com,0
bestdeal543@gmail.com,0
info.team@secure.com,0
spamdeal221@hotmail.com,1
winbig793@lottery.com,1
winbig386@hotmail.com,1
offeralert285@yahoo.com,1
freegift350@company.com,1
sales.help@hotmail.com,0
offeralert251@secure.com,1
contact.team@secure.com,0
info.service@gmail.com,0
sales.team@promo.net,0
team.desk@lottery.com,0
team.help@outlook.com,0
invoice.team@deals.biz,0
claimprize806@promo.net,1
claimprize858@promo.net,1
winbig826@promo.net,1
sales.team@yahoo.com,0
freegift884@deals.biz,1
hello.desk@secure.com,0
team.team@hotmail.com,0
cheapoffer315@outlook.com,1
cheapoffer559@gmail.com,0
team.team@outlook.com,0
support.team@secure.com,0
bestdeal640@yahoo.com,1
admin.help@hotmail.com,0
cheapoffer781@hotmail.com,1
contact.desk@gmail.com,0
cashwinner351@outlook.com,1
cashwinner731@company.com,1
bestdeal87@company.com,1
invoice.desk@lottery.com,0
hello.desk@outlook.com,0
cheapoffer25@secure.com,1
spamdeal894@yahoo.com,1
hello.help@hotmail.com,0
hello.desk@secure.com,0
contact.help@lottery.com,0
contact.help@company.com,0
freegift536@lottery.com,1
freegift588@hotmail.com,1
team.desk@hotmail.com,0
bestdeal448@secure.com,1
winbig357@company.com,1
cashwinner38@gmail.com,0
claimprize106@hotmail.com,1
contact.help@gmail.com,0
bestdeal676@outlook.com,1
spamdeal567@lottery.com,1
freegift639@promo.net,1
claimprize619@gmail.com,0
bestdeal546@deals.biz,1
sales.service@hotmail.com,0
sales.help@hotmail.com,0
invoice.desk@company.com,0
spamdeal956@lottery.com,1
freegift370@deals.biz,1
support.team@outlook.com,0
offeralert770@gmail.com,0
freegift303@hotmail.com,1
cashwinner55@secure.com,1
info.desk@company.com,0
team.help@deals.biz,0
cashwinner434@yahoo.com,1
spamdeal39@hotmail.com,1
winbig754@hotmail.com,1
spamdeal146@secure.com,1
admin.team@gmail.com,0
support.desk@outlook.com,0
support.service@company.com,0
team.desk@lottery.com,0
sales.desk@secure.com,0
admin.team@deals.biz,0
cashwinner46@yahoo.com,1
spamdeal409@secure.com,1
cheapoffer395@lottery.com,1
offeralert926@lottery.com,1
support.team@company.com,0
cashwinner35@hotmail.com,1
sales.team@deals.biz,0
cashwinner459@outlook.com,1
cashwinner364@yahoo.com,1
admin.team@deals.biz,0
invoice.team@company.com,0
claimprize80@gmail.com,0
support.help@promo.net,0
claimprize742@hotmail.com,1
freegift105@deals.biz,1
team.team@secure.com,0
contact.desk@yahoo.com,0
cheapoffer666@gmail.com,0
winbig368@deals.biz,1
admin.service@company.com,0
invoice.desk@lottery.com,0
cashwinner824@company.com,1
winbig485@outlook.com,1
bestdeal365@deals.biz,1
service.service@promo.net,0
sales.help@company.com,0
freegift394@promo.net,1
spamdeal635@deals.biz,1
support.desk@lottery.com,0
service.desk@outlook.com,0
winbig873@outlook.com,1
support.desk@gmail.com,0
hello.desk@lottery.com,0
contact.help@outlook.com,0
cheapoffer13@deals.biz,1
sales.help@outlook.com,0
support.desk@hotmail.com,0
winbig465@promo.net,1
service.service@promo.net,0
contact.help@outlook.com,0
bestdeal547@yahoo.com,1
offeralert515@company.com,1
bestdeal302@hotmail.com,1
bestdeal975@company.com,1
cheapoffer281@secure.com,1
sales.service@lottery.com,0
info.team@gmail.com,0
service.help@hotmail.com,0
support.desk@gmail.com,0
hello.desk@hotmail.com,0
hello.help@outlook.com,0
hello.team@secure.com,0
cheapoffer603@gmail.com,0
bestdeal439@deals.biz,1
contact.help@company.com,0
hello.help@lottery.com,0
cashwinner245@gmail.com,0
spamdeal858@gmail.com,0
service.desk@promo.net,0
info.desk@lottery.com,0
hello.desk@promo.net,0
hello.team@gmail.com,0
team.help@outlook.com,0
sales.team@hotmail.com,0
bestdeal355@yahoo.com,1
contact.desk@gmail.com,0
cheapoffer991@yahoo.com,1
cheapoffer238@company.com,1
contact.help@company.com,0
contact.help@promo.net,0
spamdeal155@hotmail.com,1
offeralert882@hotmail.com,1
hello.service@gmail.com,0
freegift324@hotmail.com,1
claimprize525@company.com,1
freegift952@hotmail.com,1
cashwinner578@outlook.com,1
spamdeal578@lottery.com,1
service.desk@company.com,0
freegift385@yahoo.com,1
support.desk@deals.biz,0
hello.desk@secure.com,0
freegift527@hotmail.com,1
info.team@hotmail.com,0
hello.help@gmail.com,0
info.service@promo.net,0
team.team@secure.com,0
info.team@secure.com,0
admin.service@yahoo.com,0
cheapoffer722@deals.biz,1
freegift385@outlook.com,1
cashwinner197@hotmail.com,1
cashwinner818@yahoo.com,1
cheapoffer313@outlook.com,1
info.team@secure.com,0
offeralert130@outlook.com,1
bestdeal226@yahoo.com,1
admin.help@yahoo.com,0
sales.help@lottery.com,0
cashwinner259@outlook.com,1
claimprize216@promo.net,1
contact.service@promo.net,0
spamdeal163@deals.biz,1
bestdeal547@gmail.com,0
info.desk@secure.com,0
hello.service@deals.biz,0
claimprize968@secure.com,1
offeralert484@outlook.com,1
claimprize780@secure.com,1
hello.team@hotmail.com,0
sales.desk@gmail.com,0
sales.help@gmail.com,0
freegift337@deals.biz,1
